№;Погрузка (город);Разгрузка (город);Направление;Вес от;Вес до;Объем от;Объем до;Тип кузова;Код город погрузки по КЛАДР;Код город разгрузки по КЛАДР;Код город погрузки по ФИАС;Код город разгрузки по ФИАС
1;деревня Глазово, г Дмитров, Московская обл, Россия;Москва;Оля тест;19;22;30;120;Тент полная растентовка, Тент зад и бок, Тент верх, Тент бок;;;;
2;деревня Глазово, г Дмитров, Московская обл, Россия;г Краснодар, Краснодарский край, Россия;Оля тест;19;22;30;120;Тент полная растентовка, Тент зад и бок, Тент верх, Тент бок;;;;
3;деревня Глазово, г Дмитров, Московская обл, Россия;г Челябинск, Челябинская обл, Россия;Оля тест;19;22;30;120;Тент полная растентовка, Тент зад и бок, Тент верх, Тент бок;;;;
4;деревня Глазово, г Дмитров, Московская обл, Россия;г Хабаровск, Хабаровский край, Россия;Оля тест;19;22;30;120;Тент полная растентовка, Тент зад и бок, Тент верх, Тент бок;;;;
5;деревня Глазово, г Дмитров, Московская обл, Россия;г Геленджик, Краснодарский край, Россия;Оля тест;19;22;30;120;Тент полная растентовка, Тент зад и бок, Тент верх, Тент бок;;;;
6;деревня Глазово, г Дмитров, Московская обл, Россия;г Новороссийск, Краснодарский край, Россия;Оля тест;19;22;30;120;Тент полная растентовка, Тент зад и бок, Тент верх, Тент бок;;;;
7;деревня Глазово, г Дмитров, Московская обл, Россия;пгт Афипский, Северский р-н, Краснодарский край, Россия;Оля тест;19;22;30;120;Тент полная растентовка, Тент зад и бок, Тент верх, Тент бок;;;;
8;деревня Глазово, г Дмитров, Московская обл, Россия;г Владивосток, Приморский край, Россия;Оля тест;19;22;30;120;Тент полная растентовка, Тент зад и бок, Тент верх, Тент бок;;;;
9;деревня Глазово, г Дмитров, Московская обл, Россия;г Уфа, Респ Башкортостан, Россия;Оля тест;19;22;30;120;Тент полная растентовка, Тент зад и бок, Тент верх, Тент бок;;;;
10;деревня Глазово, г Дмитров, Московская обл, Россия;г Иркутск, Иркутская обл, Россия;Оля тест;19;22;30;120;Тент полная растентовка, Тент зад и бок, Тент верх, Тент бок;;;;
11;деревня Глазово, г Дмитров, Московская обл, Россия;г Новый Уренгой, Ямало-Ненецкий ао, Россия;Оля тест;19;22;30;120;Тент полная растентовка, Тент зад и бок, Тент верх, Тент бок;;;;
12;деревня Глазово, г Дмитров, Московская обл, Россия;г Ростов-на-Дону, Ростовская обл, Россия;Оля тест;19;22;30;120;Тент полная растентовка, Тент зад и бок, Тент верх, Тент бок;;;;
13;деревня Глазово, г Дмитров, Московская обл, Россия;село Майма, Майминский р-н, респ Алтай, Россия;Оля тест;19;22;30;120;Тент полная растентовка, Тент зад и бок, Тент верх, Тент бок;;;;
14;деревня Глазово, г Дмитров, Московская обл, Россия;г Батайск, Ростовская обл, Россия;Оля тест;19;22;30;120;Тент полная растентовка, Тент зад и бок, Тент верх, Тент бок;;;;
15;деревня Глазово, г Дмитров, Московская обл, Россия;г Новосибирск, Новосибирская обл, Россия;Оля тест;19;22;30;120;Тент полная растентовка, Тент зад и бок, Тент верх, Тент бок;;;;
